CustomerID,Name,OnlineBooking,OfflineBooking,Destination,BookingMode,FlightType,Age,Fare,CustomerRating,TravelClass,FlightStatus,NumPassengers
1,Taimur Rau,False,False,Sagar,Offline,International,18,26664,4.7,Business,Canceled,2
2,Samaira Madan,True,False,Buxar,Offline,International,27,19006,3.6,First,Canceled,2
3,Biju Kaur,False,True,Khammam,Offline,International,22,19223,4.2,First,Delayed,3
4,Uthkarsh Hegde,False,True,Haldia,Offline,International,18,24963,4.5,Business,Delayed,3
5,Jiya Ganesan,False,True,Shimoga,Offline,International,67,16752,5.0,First,Canceled,5
6,Aarav Chawla,True,True,Mango,Offline,International,19,25988,3.7,Business,On Time,2
7,Suhana Bhattacharyya,False,True,Bahraich,Offline,International,31,15930,3.4,Business,Canceled,4
8,Jiya Kumer,True,True,Gudivada,Offline,International,55,9991,3.2,First,Delayed,5
9,Gokul Salvi,True,False,Kakinada,Offline,International,40,18009,4.6,Business,Delayed,5
10,Neysa Bhagat,False,False,Belgaum,Offline,International,51,7450,3.8,First,Delayed,3
11,Anay Karnik,True,False,Ballia,Offline,International,26,27392,4.3,Economy,Delayed,4
12,Dhruv Kumer,False,False,Baranagar,Offline,International,64,21501,3.6,Economy,On Time,1
13,Lavanya Sarraf,True,False,Bhopal,Offline,International,50,5358,3.4,Business,Delayed,1
14,Jhanvi Ratta,True,False,Orai,Offline,International,38,13926,3.8,First,Delayed,1
15,Shlok Shroff,False,False,Phagwara,Offline,International,50,27932,3.4,Business,Canceled,1
16,Onkar Khatri,True,False,Hazaribagh,Offline,International,29,28360,4.2,Business,Delayed,1
17,Vardaniya Babu,False,False,Medininagar,Offline,International,50,18848,4.6,Business,On Time,5
18,Reyansh Korpal,False,False,Medininagar,Offline,International,50,18997,4.0,Business,On Time,4
19,Ojas Sami,False,True,Unnao,Offline,International,28,14948,3.8,Economy,Delayed,2
20,Zain Karan,True,False,Bhilai,Offline,International,20,19545,3.6,Business,Canceled,4
21,Arhaan Kala,True,False,Gandhinagar,Offline,International,70,25009,3.1,Business,Delayed,1
22,Krish Karan,False,False,Rajkot,Offline,International,22,28935,4.4,Economy,Canceled,4
23,Prerak Majumdar,True,False,Katihar,Offline,International,58,12785,3.9,Business,Delayed,3
24,Sahil Raman,False,True,Loni,Offline,International,50,6709,4.0,First,Delayed,5
25,Aaina Thaker,True,False,Chandrapur,Offline,International,20,27164,3.8,Business,Delayed,5
26,Myra Manne,True,True,Allahabad,Offline,International,58,8558,3.8,First,Delayed,1
27,Pranay Konda,False,False,Dewas,Offline,International,27,26814,4.9,First,Canceled,4
28,Rati Chaudhuri,False,False,Madhyamgram,Offline,International,66,8522,4.8,Economy,Canceled,2
29,Prerak Rege,False,False,Ramgarh,Offline,International,33,5069,4.7,Economy,Canceled,3
30,Advik Mannan,False,False,Dhanbad,Offline,International,66,26444,4.5,Economy,Delayed,4
31,Veer Keer,False,True,Sultan Pur Majra,Offline,International,34,29172,4.7,First,Delayed,2
32,Gatik Mahal,True,False,Bellary,Offline,International,26,25143,4.4,Business,Canceled,1
